Environment,Plot,Genotype,Rep,Block,Row,Column,Line.type,Yield
Env2,17,142,1,1,1,17,Entry,5222.5507
Env2,79,143,1,2,2,39,Entry,5442.2929
Env2,140,144,1,4,4,20,Entry,5430.3745
Env2,197,145,1,5,5,37,Entry,5028.6008
Env2,4,146,1,1,1,4,Entry,4820.6956
Env2,128,147,1,4,4,8,Entry,6221.9074
Env2,47,148,1,2,2,7,Entry,5631.4994
Env2,97,149,1,3,3,17,Entry,4283.4304
Env2,14,150,1,1,1,14,Entry,5110.7421
Env2,22,151,1,1,1,22,Entry,5560.1429
Env2,141,152,1,4,4,21,Entry,6437.9683
Env2,191,153,1,5,5,31,Entry,5196.2208
Env2,189,154,1,5,5,29,Entry,5304.6116
Env2,159,155,1,4,4,39,Entry,4933.9534
Env2,118,156,1,3,3,38,Entry,6090.1163
Env2,166,157,1,5,5,6,Entry,6044.0479
Env2,114,158,1,3,3,34,Entry,5593.1209
Env2,42,159,1,2,2,2,Entry,5486.167
Env2,116,160,1,3,3,36,Entry,5415.0383
Env2,28,161,1,1,1,28,Entry,5141.2645
Env2,107,162,1,3,3,27,Entry,5638.77
Env2,115,163,1,3,3,35,Entry,5331.5458
Env2,87,164,1,3,3,7,Entry,5153.8276
Env2,188,165,1,5,5,28,Entry,5894.1955
Env2,183,166,1,5,5,23,Entry,5563.1366
Env2,30,167,1,1,1,30,Entry,4994.534
Env2,178,168,1,5,5,18,Entry,6071.3933
Env2,186,169,1,5,5,26,Entry,4958.6777
Env2,130,170,1,4,4,10,Entry,4450.7467
Env2,99,171,1,3,3,19,Entry,5533.9237
Env2,104,172,1,3,3,24,Entry,2577.7557
Env2,8,173,1,1,1,8,Entry,5123.5464
Env2,120,174,1,3,3,40,Entry,3599.8896
Env2,50,175,1,2,2,10,Entry,6581.3953
Env2,170,176,1,5,5,10,Entry,4256.5762
Env2,152,177,1,4,4,32,Entry,5507.3144
Env2,63,178,1,2,2,23,Entry,5495.8137
Env2,89,179,1,3,3,9,Entry,5217.3913
Env2,77,180,1,2,2,37,Entry,5553.5893
Env2,105,181,1,3,3,25,Entry,2682.8272
Env2,55,182,1,2,2,15,Entry,2945.4081
Env2,184,183,1,5,5,24,Entry,3515.5513
Env2,70,184,1,2,2,30,Entry,7181.4436
Env2,110,185,1,3,3,30,Entry,3217.0543
Env2,174,186,1,5,5,14,Entry,6026.0201
Env2,65,187,1,2,2,25,Entry,5285.3055
Env2,139,188,1,4,4,19,Entry,4697.6745
Env2,179,189,1,5,5,19,Entry,4228.7816
Env2,108,190,1,3,3,28,Entry,3974.856
Env2,149,191,1,4,4,29,Entry,4690.8678
Env2,175,192,1,5,5,15,Entry,5338.5064
Env2,173,193,1,5,5,13,Check,5105.0799
Env2,143,194,1,4,4,23,Check,4724.8061
Env2,90,195,1,3,3,10,Check,4933.5884
Env2,9,196,1,1,1,9,Check,5794.2453
Env2,111,197,1,3,3,31,Check,5004.4903
Env2,48,198,1,2,2,8,Check,5470.0436
Env2,74,199,1,2,2,34,Check,5402.9262
Env2,25,200,1,1,1,25,Check,5062.9844
Env2,396,1,2,5,10,36,Entry,6762.2951
Env2,237,2,2,1,6,37,Entry,3751.5168
Env2,230,3,2,1,6,30,Entry,5027.8686
Env2,241,4,2,2,7,1,Entry,5683.8662
Env2,216,5,2,1,6,16,Entry,4544.3374
Env2,381,6,2,5,10,21,Entry,4808.3819
Env2,319,7,2,3,8,39,Entry,4053.5079
Env2,336,8,2,4,9,16,Entry,6049.856
Env2,320,9,2,3,8,40,Entry,4180.5331
Env2,256,10,2,2,7,16,Entry,4348.9421
Env2,347,11,2,4,9,27,Entry,5061.0956
Env2,262,12,2,2,7,22,Entry,3650.3321
Env2,374,13,2,5,10,14,Entry,5454.4571
Env2,297,14,2,3,8,17,Entry,6308.6882
Env2,364,15,2,5,10,4,Entry,4575.8794
Env2,359,16,2,4,9,39,Entry,4074.2396
Env2,334,17,2,4,9,14,Entry,5023.256
Env2,370,18,2,5,10,10,Entry,4615.3266
Env2,290,19,2,3,8,10,Entry,4575.5341
Env2,246,20,2,2,7,6,Entry,6273.2067
Env2,354,21,2,4,9,34,Entry,5223.1046
Env2,300,22,2,3,8,20,Entry,5143.8707
Env2,236,23,2,1,6,36,Entry,5432.1049
Env2,243,24,2,2,7,3,Entry,7771.4867
Env2,277,25,2,2,7,37,Entry,5011.628
Env2,248,26,2,2,7,8,Entry,4422.0247
Env2,245,27,2,2,7,5,Entry,3700.0453
Env2,346,28,2,4,9,26,Entry,5083.7009
Env2,202,29,2,1,6,2,Entry,4698.9553
Env2,350,30,2,4,9,30,Entry,5677.9823
Env2,352,31,2,4,9,32,Entry,4664.1861
Env2,274,32,2,2,7,34,Entry,6201.2218
Env2,386,33,2,5,10,26,Entry,4940.9075
Env2,362,34,2,5,10,2,Entry,4871.2623
Env2,218,35,2,1,6,18,Entry,4571.1018
Env2,375,36,2,5,10,15,Entry,4487.1433
Env2,317,37,2,3,8,37,Entry,5530.8807
Env2,249,38,2,2,7,9,Entry,4964.4436
Env2,398,39,2,5,10,38,Entry,4768.6432
Env2,260,40,2,2,7,20,Entry,5039.4005
Env2,399,41,2,5,10,39,Entry,4502.9546
Env2,209,42,2,1,6,9,Entry,4661.0169
Env2,308,43,2,3,8,28,Entry,6079.7695
Env2,376,44,2,5,10,16,Entry,5513.646
Env2,340,45,2,4,9,20,Entry,5400
Env2,329,46,2,4,9,9,Entry,4130.6402
Env2,213,47,2,1,6,13,Entry,5670.7847
Env2,265,48,2,2,7,25,Entry,4055.587
Env2,333,49,2,4,9,13,Entry,5029.07
Env2,215,50,2,1,6,15,Entry,6021.8389
Env2,225,51,2,1,6,25,Entry,5314.4593
Env2,233,52,2,1,6,33,Entry,5164.6491
Env2,287,53,2,3,8,7,Entry,5229.7448
Env2,252,54,2,2,7,12,Entry,5703.6072
Env2,313,55,2,3,8,33,Entry,4830.6684
Env2,380,56,2,5,10,20,Entry,4228.3298
Env2,310,57,2,3,8,30,Entry,3672.8535
Env2,384,58,2,5,10,24,Entry,3555.1061
Env2,296,59,2,3,8,16,Entry,4755.5158
Env2,394,60,2,5,10,34,Entry,4536.9603
Env2,372,61,2,5,10,12,Entry,5479.6511
Env2,325,62,2,4,9,5,Entry,5116.7515
Env2,377,63,2,5,10,17,Entry,4975.2192
Env2,254,64,2,2,7,14,Entry,6322.6744
Env2,311,65,2,3,8,31,Entry,5349.8146
Env2,332,66,2,4,9,12,Entry,3224.5456
Env2,351,67,2,4,9,31,Entry,5540.5008
Env2,229,68,2,1,6,29,Entry,4868.1049
Env2,322,69,2,4,9,2,Entry,3802.3256
Env2,339,70,2,4,9,19,Entry,4111.9653
Env2,261,71,2,2,7,21,Entry,5326.5923
Env2,258,72,2,2,7,18,Entry,4166.6667
Env2,272,73,2,2,7,32,Entry,4069.7676
Env2,348,74,2,4,9,28,Entry,5414.6942
Env2,227,75,2,1,6,27,Entry,3819.1044
Env2,276,76,2,2,7,36,Entry,4702.4626
Env2,305,77,2,3,8,25,Entry,3888.9153
Env2,280,78,2,2,7,40,Entry,4462.4645
Env2,335,79,2,4,9,15,Entry,4970.4204
Env2,203,80,2,1,6,3,Entry,3989.5254
Env2,314,81,2,3,8,34,Entry,5058.1395
Env2,234,82,2,1,6,34,Entry,2490.2243
Env2,298,83,2,3,8,18,Entry,5224.2182
Env2,307,84,2,3,8,27,Entry,4116.4779
Env2,303,85,2,3,8,23,Entry,5023.1066
Env2,239,86,2,1,6,39,Entry,4672.3045
Env2,293,87,2,3,8,13,Entry,5343.7075
Env2,378,88,2,5,10,18,Entry,4062.1176
Env2,316,89,2,3,8,36,Entry,4779.6946
Env2,400,90,2,5,10,40,Entry,6435.9993
Env2,222,91,2,1,6,22,Entry,3611.323
Env2,283,92,2,3,8,3,Entry,5223.6138
Env2,267,93,2,2,7,27,Entry,4756.0781
Env2,221,94,2,1,6,21,Entry,5444.525
Env2,223,95,2,1,6,23,Entry,5370.5806
Env2,304,96,2,3,8,24,Entry,5190.1646
Env2,284,97,2,3,8,4,Entry,4524.6238
Env2,204,98,2,1,6,4,Entry,5182.52
Env2,242,99,2,2,7,2,Entry,5414.2443
Env2,397,100,2,5,10,37,Entry,4466.2601
Env2,344,101,2,4,9,24,Entry,5152.2027
Env2,345,102,2,4,9,25,Entry,5818.7587
Env2,328,103,2,4,9,8,Entry,4828.2024
Env2,271,104,2,2,7,31,Entry,6587.2566
Env2,226,105,2,1,6,26,Entry,5281.0078
Env2,238,106,2,1,6,38,Entry,4975.9755
Env2,232,107,2,1,6,32,Entry,5118.6427
Env2,365,108,2,5,10,5,Entry,6113.6898
Env2,219,109,2,1,6,19,Entry,4831.9328
Env2,330,110,2,4,9,10,Entry,5112.3706
Env2,302,111,2,3,8,22,Entry,5749.1523
Env2,214,112,2,1,6,14,Entry,5134.4771
Env2,331,113,2,4,9,11,Entry,5052.3255
Env2,288,114,2,3,8,8,Entry,3851.8665
Env2,383,115,2,5,10,23,Entry,4987.5074
Env2,205,116,2,1,6,5,Entry,4728.7601
Env2,390,117,2,5,10,30,Entry,4964.4436
Env2,210,118,2,1,6,10,Entry,5123.2464
Env2,306,119,2,3,8,26,Entry,6867.0058
Env2,250,120,2,2,7,10,Entry,5098.9309
Env2,289,121,2,3,8,9,Entry,6497.0931
Env2,356,122,2,4,9,36,Entry,3925.6198
Env2,327,123,2,4,9,7,Entry,4507.6896
Env2,247,124,2,2,7,7,Entry,8916.2793
Env2,257,125,2,2,7,17,Entry,7041.1302
Env2,355,126,2,4,9,35,Entry,5447.4754
Env2,253,127,2,2,7,13,Entry,4852.9554
Env2,312,128,2,3,8,32,Entry,4382.8265
Env2,353,129,2,4,9,33,Entry,4316.1216
Env2,231,130,2,1,6,31,Entry,5934.2081
Env2,244,131,2,2,7,4,Entry,5443.1369
Env2,235,132,2,1,6,35,Entry,5628.1906
Env2,278,133,2,2,7,38,Entry,5768.0538
Env2,266,134,2,2,7,26,Entry,5412.5582
Env2,275,135,2,2,7,35,Entry,5990.9929
Env2,324,136,2,4,9,4,Entry,5668.6046
Env2,294,137,2,3,8,14,Entry,4707.8368
Env2,301,138,2,3,8,21,Entry,5284.5528
Env2,217,139,2,1,6,17,Entry,4774.4585
Env2,206,140,2,1,6,6,Entry,5860.3715
Env2,367,141,2,5,10,7,Entry,5004.8048
Env2,338,142,2,4,9,18,Entry,5071.3311
Env2,268,143,2,2,7,28,Entry,5052.9015
Env2,342,144,2,4,9,22,Entry,4343.3091
Env2,212,145,2,1,6,12,Entry,5329.4573
Env2,299,146,2,3,8,19,Entry,6190.4305
Env2,369,147,2,5,10,9,Entry,5441.2644
Env2,326,148,2,4,9,6,Entry,6404.9587
Env2,366,149,2,5,10,6,Entry,3471.1627
Env2,361,150,2,5,10,1,Entry,5089.1657
Env2,343,151,2,4,9,23,Entry,5886.6279
Env2,318,152,2,3,8,38,Entry,4935.6139
Env2,224,153,2,1,6,24,Entry,4466.5696
Env2,240,154,2,1,6,40,Entry,5277.281
Env2,371,155,2,5,10,11,Entry,5670.7847
Env2,323,156,2,4,9,3,Entry,4578.0038
Env2,368,157,2,5,10,8,Entry,6924.7117
Env2,395,158,2,5,10,35,Entry,5436.2846
Env2,363,159,2,5,10,3,Entry,5454.4571
Env2,286,160,2,3,8,6,Entry,5520.7056
Env2,269,161,2,2,7,29,Entry,5428.8413
Env2,388,162,2,5,10,28,Entry,4413.6733
Env2,255,163,2,2,7,15,Entry,5496.8287
Env2,382,164,2,5,10,22,Entry,5329.4573
Env2,389,165,2,5,10,29,Entry,3447.3464
Env2,315,166,2,3,8,35,Entry,4834.9512
Env2,385,167,2,5,10,25,Entry,5047.1404
Env2,282,168,2,3,8,2,Entry,5176.8615
Env2,273,169,2,2,7,33,Entry,4734.1521
Env2,360,170,2,4,9,40,Entry,4877.1484
Env2,220,171,2,1,6,20,Entry,4620.6394
Env2,341,172,2,4,9,21,Entry,3465.7338
Env2,251,173,2,2,7,11,Entry,4170.6707
Env2,281,174,2,3,8,1,Entry,3829.6022
Env2,321,175,2,4,9,1,Entry,4999.0388
Env2,292,176,2,3,8,12,Entry,4591.9943
Env2,208,177,2,1,6,8,Entry,4817.2416
Env2,264,178,2,2,7,24,Entry,4783.8267
Env2,392,179,2,5,10,32,Entry,4268.4108
Env2,358,180,2,4,9,38,Entry,6118.6849
Env2,201,181,2,1,6,1,Entry,1856.2367
Env2,387,182,2,5,10,27,Entry,3287.9764
Env2,379,183,2,5,10,19,Entry,3012.9959
Env2,391,184,2,5,10,31,Entry,6203.914
Env2,349,185,2,4,9,29,Entry,3328.8486
Env2,295,186,2,3,8,15,Entry,5671.2042
Env2,291,187,2,3,8,11,Entry,6088.1522
Env2,285,188,2,3,8,5,Entry,4762.438
Env2,228,189,2,1,6,28,Entry,3803.4677
Env2,263,190,2,2,7,23,Entry,3146.8022
Env2,270,191,2,2,7,30,Entry,5717.5272
Env2,207,192,2,1,6,7,Entry,4565.8597
Env2,309,193,2,3,8,29,Check,5054.8815
Env2,393,194,2,5,10,33,Check,5104.935
Env2,211,195,2,1,6,11,Check,4746.5404
Env2,373,196,2,5,10,13,Check,4266.8504
Env2,357,197,2,4,9,37,Check,3939.554
Env2,259,198,2,2,7,19,Check,4420.7848
Env2,279,199,2,2,7,39,Check,6914.4121
Env2,337,200,2,4,9,17,Check,5336.2665
